method	query_id	query_name	category	query_family	cohort	marker_source_class	evidence_class	contrast	direction	gene_count	gene_list_path	background_name	background_count	background_path	background_strategy	source_marker_table	ranked_genes_path	ordered	custom_background_available	skip	skipped_reason	minimum_query_size
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_nbl_evidence_anchor_source_recurrent	ranked_marker_source_panel__cohort_nbl_evidence_anchor_source_recurrent	cohort_evidence_class	cohort_evidence_class	NBL	NA	anchor_source_recurrent	NA	ALL	2	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_evidence_anchor_source_recurrent.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_evidence_anchor_source_recurrent_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_rbl_evidence_anchor_source_recurrent	ranked_marker_source_panel__cohort_rbl_evidence_anchor_source_recurrent	cohort_evidence_class	cohort_evidence_class	RBL	NA	anchor_source_recurrent	NA	ALL	0	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_rbl_evidence_anchor_source_recurrent.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_rbl_evidence_anchor_source_recurrent_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_brca_evidence_isolate_source_recurrent	ranked_marker_source_panel__cohort_brca_evidence_isolate_source_recurrent	cohort_evidence_class	cohort_evidence_class	BRCA	NA	isolate_source_recurrent	NA	ALL	2	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_brca_evidence_isolate_source_recurrent.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_brca_evidence_isolate_source_recurrent_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_nbl_evidence_isolate_source_recurrent	ranked_marker_source_panel__cohort_nbl_evidence_isolate_source_recurrent	cohort_evidence_class	cohort_evidence_class	NBL	NA	isolate_source_recurrent	NA	ALL	2	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_evidence_isolate_source_recurrent.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_evidence_isolate_source_recurrent_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_rbl_evidence_isolate_source_recurrent	ranked_marker_source_panel__cohort_rbl_evidence_isolate_source_recurrent	cohort_evidence_class	cohort_evidence_class	RBL	NA	isolate_source_recurrent	NA	ALL	0	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_rbl_evidence_isolate_source_recurrent.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_rbl_evidence_isolate_source_recurrent_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_brca_evidence_anchor_singleton_ranked	ranked_marker_source_panel__cohort_brca_evidence_anchor_singleton_ranked	cohort_evidence_class	cohort_evidence_class	BRCA	NA	anchor_singleton_ranked	NA	ALL	0	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_brca_evidence_anchor_singleton_ranked.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_brca_evidence_anchor_singleton_ranked_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_nbl_evidence_anchor_singleton_ranked	ranked_marker_source_panel__cohort_nbl_evidence_anchor_singleton_ranked	cohort_evidence_class	cohort_evidence_class	NBL	NA	anchor_singleton_ranked	NA	ALL	0	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_evidence_anchor_singleton_ranked.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_evidence_anchor_singleton_ranked_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__direction_mixed	ranked_marker_source_panel__direction_mixed	direction	direction	ALL	NA	NA	NA	MIXED	2	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__direction_mixed.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__direction_mixed_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_brca_direction_mixed	ranked_marker_source_panel__cohort_brca_direction_mixed	cohort_direction	cohort_direction	BRCA	NA	NA	NA	MIXED	2	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_brca_direction_mixed.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_brca_direction_mixed_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
ranked_marker_source_pan_cancer_panel	ranked_marker_source_panel__cohort_nbl_direction_mixed	ranked_marker_source_panel__cohort_nbl_direction_mixed	cohort_direction	cohort_direction	NBL	NA	NA	NA	MIXED	0	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_direction_mixed.tsv	ranked_marker_source_panel__eligible_marker_selection_universe	1346	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__eligible_marker_selection_universe.tsv	active eligible marker-selection universe	NA	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/query_genes/ranked_marker_source_panel__cohort_nbl_direction_mixed_ranked.tsv	FALSE	TRUE	TRUE	query_size_below_3	3
